Designator,Mid X,Mid Y,Rotation,Layer
C1,151.68,-86.4,180.0,top
C10,143.08,-77.6,180.0,top
C11,143.12,-75.6,180.0,top
C12,143.12,-76.6,180.0,top
C13,150.0,-75.775,270.0,top
C14,151.8,-77.2,90.0,top
C15,146.8,-103.4,90.0,top
C16,144.0,-106.8,90.0,top
C17,151.68,-79.4,0.0,top
C2,151.68,-88.4,180.0,top
C3,151.68,-81.4,180.0,top
C4,151.68,-83.4,180.0,top
C5,151.68,-82.4,180.0,top
C6,151.68,-80.4,180.0,top
C7,151.68,-84.4,180.0,top
C8,151.68,-85.4,180.0,top
C9,151.68,-87.4,180.0,top
J1,147.27,-68.85,180.0,top
J2,138.41,-91.9,0.0,top
J3,156.19,-91.9,0.0,top
J4,147.16,-115.85,90.0,top
R1,148.4,-77.31,270.0,top
R2,145.0,-77.31,270.0,top
R3,146.0,-77.31,270.0,top
R4,147.0,-77.31,270.0,top
R5,145.2,-106.8,270.0,top
R6,143.0,-106.8,90.0,top
R7,143.6,-91.2,90.0,top
SW1,144.0,-110.8,90.0,top
U1,147.3375,-95.9,90.0,top
U2,149.8,-109.4,270.0,top
U3,147.2,-84.6,0.0,top
Y1,143.8,-103.4,0.0,top
